polish,english
kilka ,a few
mówię ,I say
mówisz ,you speak
zanim ,before
miałem ,I had
kocham ,I love
świetnie ,Great
tobie ,you
takiego ,such
tyle ,so much
robić ,do
trzy ,three
idź ,go
kogoś ,someone
ani ,or
pewno ,surely
myślałem ,I thought
widzisz ,you see
kiedyś ,Once
robi ,do
widzę ,I see
jaki ,what
niej ,it
ojciec ,father
zbyt ,too
która ,which
zobaczyć ,see
przestań ,stop
sposób ,way
pracy ,work
dzisiaj ,today
sie ,myself
później ,later
bardziej ,more
będą ,will
aż ,until
życia ,life
jutro ,tomorrow
tą ,this
rację ,race
żebyś ,do
długo ,long
tato ,dad
każdy ,everyone
twoim ,your
chciałem ,I wanted
dni ,days
twojej ,your
nadzieję ,hope
stanie ,will
koniec ,end
znam ,I know
mamo ,mamom
swoją ,in
problem ,problem
żyje ,is alive
potrzebuję ,need
widziałem ,I saw
spokój ,composure
powiem ,will
minut ,minute
broń ,weapon
panu ,lady
mógł ,he could
nami ,us
wy ,you
nocy ,night
wciąż ,still
znowu ,again
pieniądze ,money
imię ,name
dnia ,day
zabić ,kill
drzwi ,door
pierwszy ,first
taka ,such
nasz ,our
posłuchaj ,listen
ponieważ ,because
słuchaj ,listen
jakie ,what
gdyby ,if
miło ,nice
spójrz ,look
chciałbym ,I'd like
sir ,sir
razie ,present
nasze ,our
dokładnie ,Exactly
czuję ,I feel
zrobił ,did
dobre ,good
samo ,itself
nadal ,still
człowiek ,human
twoją ,your
znaleźć ,found
chwilę ,moments
chciał ,she wanted
kogo ,whom
zostać ,stay
czegoś ,doom
wszystkim ,all
został ,left
roku ,year
mówić ,to talk
jesteście ,you are
facet ,guy
mów ,talk
powiedziałem ,I said
były ,were
którzy ,who
dziecko ,kid
idziemy ,we go
sama ,alone
macie ,you have
mówiłem ,I said
we ,in
napisy ,Subtitles
mogą ,can
spokojnie ,relax
sobą ,in
bym ,for
miała ,she had
przecież ,yet
dom ,House
poza ,apart from
zamknij ,close
byłeś ,you were
lubię ,I like
oh ,oh
żadnych ,any
pomocy ,help
prawie ,almost
gdzieś ,somewhere
porozmawiać ,talk
wcześniej ,earlier
podoba ,like
zrobię ,I will do
czekaj ,wait
dość ,enough
twojego ,your
lub ,or
moich ,my
razy ,times
znasz ,you know
mały ,small
ciągle ,Still
jakby ,as if
wydaje ,spends
mama ,mom
powinniśmy ,we should
jeżeli ,if
jack ,jack
powinieneś ,you should
innego ,different
sprawy ,cases
rozumiesz ,you understand
trzymaj ,hold
końcu ,end
powodu ,reason
jedno ,one
pamiętasz ,Do you remember
pomysł ,idea
noc ,night
pewien ,a
którą ,which
wiemy ,we know
bądź ,be
żebym ,for
numer ,number
oczy ,eyes
lata ,years
dwie ,two
miejscu ,place
dokąd ,where
och ,oh
pokoju ,room
chodźmy ,let
ojca ,father
weź ,take
idę ,I'm going
samochód ,car
nowy ,new
jednak ,but
świat ,world
źle ,badly
którego ,whose
niczego ,nobody
oto ,here
dwóch ,two
sprawa ,thing
swój ,your
idzie ,goes
takim ,such
jedną ,one
wystarczy ,enough
byłam ,I was
rano ,in the morning
nimi ,doom
halo ,Hello
byś ,you would
życiu ,life
całe ,all
wiedziałem ,I knew
swojego ,itself
śmierć ,death
ręce ,hands
musiał ,muster
którym ,which
całą ,whole
chcą ,want to
da ,da
właściwie ,actually
zrób ,make
panowie ,gentlemen
skoro ,since
drogi ,expensive
czujesz ,you feel
dam ,dam
pozwól ,let
wyglądasz ,you look
jednego ,one
jedna ,one
mówił ,said
których ,which
świecie ,world
patrz ,Look
nikogo ,nobody
byli ,they were
pytanie ,question
swoim ,with his
której ,which
powinienem ,I should
jezu ,Jesus
dać ,to give
rzecz ,item
powiedziała ,she said
powiedziałeś ,you said
najpierw ,Firstly
sądzę ,I think
prawo ,law
matka ,mother
widzieć ,see
John ,John
dr ,drum
telefon ,Telephone
podczas ,during
wczoraj ,yesterday
śmierci ,death
pracę ,work
pamiętam ,I remember
uważaj ,be careful
parę ,a couple
wrócić ,come back
diabła ,devil
the ,the
robię ,I am doing
zrobiłem ,I did
kobiety ,women
poważnie ,seriously
miejsca ,places
znów ,again
cholery ,cholera
zrobiłeś ,you made
sprawę ,matter
zaczekaj ,Wait
powiesz ,you will say
rób ,do
natychmiast ,immediately
dziewczyna ,girl
również ,also
działa ,it works
słyszałem ,I heard
pięć ,bake
super ,cool
swoich ,herself
mówią ,they say
witam ,Hello
całkiem ,quite
cokolwiek ,anything
witaj ,Welcome
gdybym ,if I
żona ,wife
prawdę ,truth
zostaw ,leave
bóg ,God
wierzę ,I believe
szybciej ,faster
nieźle ,not bad
wielu ,many
inaczej ,otherwise
gra ,game
dopiero ,only
wcale ,at all
pieniędzy ,money
pójdę ,I will go
godziny ,hours
wiedział ,he knew
udało ,succeeded
człowieka ,human
stać ,be
wina ,fault
wiecie ,you know
swojej ,his
poznać ,to get to know
inne ,another
jednym ,one
myślałam ,I thought
miałam ,I had
chwili ,moment
innych ,other
dopóki ,as long as
nowa ,new
kobieta ,woman
nowego ,new
miłość ,love
ziemi ,land
inny ,other
przynajmniej ,at least
nasza ,our
ważne ,important
wiadomość ,message
dolarów ,dollars
słowa ,words
słucham ,I'm listening
naszych ,our
naszej ,ours
między ,between
dostać ,to receive
czasem ,sometimes
chciałam ,I wanted
jaką ,what
gówno ,shit
brzmi ,sound
chcemy ,we want
każdego ,every
raczej ,rather
możliwe ,possible
każdym ,each
widziałeś ,you've seen
dawaj ,come on
nazywa ,call
powinien ,should
zabrać ,take
dziewczyny ,Girls
miałeś ,you had
chłopaki ,boys
doktorze ,doctors
potrzebuje ,need
zgadza ,agree
zrobimy ,we will do
godzin ,hours
ostatni ,last
wieczór ,evening
świata ,world
serce ,heart
martw ,worry
wielki ,large
powrotem ,back
żyć ,lives
one ,they
plan ,plan 
byłoby ,would be
potrzebujemy ,We need
dobranoc ,good night
żadnego ,any
kapitanie ,captain
zobaczenia ,see
możecie ,you can
wspaniale ,great
ogóle ,at all
także ,too
pół ,half
idziesz ,you go
takich ,such
pojęcia ,concepts
twoich ,your
czymś ,on
cztery ,four
skarbie ,Honey
tata ,dad
naszego ,our
panią ,lady
wybacz ,forgive
chcecie ,you want
zrobisz ,do
pokój ,room
poczekaj ,wait
uda ,thighs
głowy ,head
szczęście ,luck
wyjść ,exit
robota ,job
naszym ,our
syn ,son
gotowy ,ready
cieszę ,I'm happy
głowę ,head
rozmawiać ,to talk
krwi ,blood
wszystkiego ,all
zabił ,killed
czasie ,time
ciało ,body
należy ,belongs
dziwne ,weird
została ,she stayed
przeciwko ,against
ruszaj ,go
cała ,whole
strony ,pages
jaka ,what
mógłbym ,I could
oznacza ,means
pomoc ,help
taką ,such
zostało ,left
miasta ,cities
tłumaczenie ,translation
końca ,end
zostanie ,will
policja ,Police
mieli ,they had
pewna ,certain
obchodzi ,care
ode ,from
syna ,son
czasami ,sometimes
twarz ,face
rok ,year
mieliśmy ,we had
lecz ,but
ostatnio ,recently
uwierzyć ,believe
daleko ,far
rodziny ,families
mogłem ,I could
lubisz ,you like
blisko ,near
zły ,bad
środku ,middle
boga ,god
byliśmy ,We were
drodze ,road
szkoły ,school
czeka ,waiting
słowo ,word
radę ,council
człowiekiem ,human
mogła ,she could
brat ,brother
mała ,small
krew ,blood
najbardziej ,the most
wejść ,entrance
zewnątrz ,outside
mąż ,husband
robimy ,do
słyszysz ,you hear
kimś ,in
część ,part
wieczorem ,in the evening
widziałam ,I saw
zna ,know
wody ,water
moi ,my
potrzebujesz ,you need
lubi ,likes to
wracaj ,come back
rękę ,hand
tydzień ,week
frank ,franc
wrócę ,come back
innym ,other
wypadek ,accident
mówiłeś ,you said
stronie ,side
mógłbyś ,you could
sprawie ,case
zobaczymy ,we'll see
wziąć ,to take
gdybyś ,you were
naszą ,our
nazywam ,My name is
późno ,late
zależy ,it depends
człowieku ,Man
góry ,mountains
pomóż ,help
jechać ,to go
pokaż ,show
ciężko ,hard
napisów ,subtitles
serio ,seriously
roboty ,robots
zrobi ,do
mniej ,less
broni ,weapon
kiedykolwiek ,whenever
temat ,topic
mało ,little
popatrz ,look
charlie ,charlie
prawa ,laws
miesięcy ,monthly
pójść ,go
koleś ,dude
jedziemy ,we drive
wkrótce ,soon
nowe ,new
pierwsze ,first
nazwisko ,name
miasto ,city
racja ,right
leci ,flies
zostań ,stay
stronę ,direction
nieważne ,does not matter
chciała ,she wanted
chłopak ,boy
zdjęcia ,pictures
znalazłem ,I found
powinno ,should
robią ,do
powinnaś ,you should
statek ,ship
zostały ,left
wszędzie ,everywhere
prosto ,straight
wielkie ,big
dół ,hole
zupełnie ,quite
tędy ,this way
spotkanie ,meeting
małe ,small
ponad ,above
według ,According to
widział ,seen
mówiąc ,say
drogę ,way
doktor ,doctor
praca ,work
drugi ,second
byłaś ,you were
górę ,hill
wiedzą ,knowledge
mieście ,city
jakoś ,somehow
film ,movie
czyli ,that is
chociaż ,though
kłopoty ,troubles
droga ,road
samochodu ,car
szansę ,chances
zatrzymać ,stop
niemożliwe ,impossible
spać ,to sleep
chłopcy ,boys
mógłby ,could
wasza ,yours
sądzisz ,you think
przyjaciel ,friend
michael ,michael
tymi ,forth
złe ,badly
mogli ,they could
synu ,son
powiedziałam ,I said
szkoda ,pity
całym ,All
żaden ,no
taa ,taa
trzech ,three
wami ,you
pracuje ,works
faceta ,man
sprawdzić ,to check
pogadać ,talk
serca ,hearts
you ,you
kraju ,country
dał ,gave
trudno ,hard
drugiej ,second
zaczyna ,starting
brak ,lack
choć ,though
powinnam ,should
ruszać ,move
chciałabym ,I would like
cicho ,quiet
samego ,alone
dziewczynę ,girl
godzinę ,hour
piękna ,Beautiful
jakąś ,some
tom ,volume
www ,www
widzenia ,vision
spotkać ,meet
pracować ,work
żadnej ,any
pa ,pa
spróbuj ,try
znać ,know
ciała ,body
przyjaciół ,friends
razu ,once
zapomnij ,forget
harry ,Harry
najlepszy ,best
ostatnie ,last
policji ,police
otwórz ,open
problemy ,problem
ojcem ,father
przykład ,example
myśleć ,think
głupi ,stupid
wolno ,slow
słyszałeś ,did you hear
powodzenia ,good luck
rodzina ,family
pomoże ,help
kilku ,a few
uwagę ,attention
muszą ,must
chwila ,moment
jakaś ,some
zdjęcie ,Photo
środka ,measure
nowym ,new
szefie ,boss
odejść ,go
wspólnego ,shared
musiałem ,I had to
sami ,themselves
ziemię ,Earth
dawno ,long time ago
będziecie ,you will
trzymać ,hold
pracuję ,works
pewnego ,certain
inni ,others
gotowi ,ready
sześć ,six
głowie ,head
zabierz ,take
sekund ,second
zmienić ,to change
zabiję ,kill
czekać ,wait
gość ,guest
walczyć ,fight
chwileczkę ,waiter
wystarczająco ,enough
musicie ,must
dasz ,give
tysięcy ,thousands
pierwsza ,first
zadzwonić ,call
rady ,advice
prawdopodobnie ,probably
zostawić ,to leave
niestety ,Unfortunately
zobacz ,look
nagle ,suddenly
wezmę ,I'll take
zabawne ,funny
żonę ,wife
panem ,master
większość ,majority
wracam ,come back
joe ,Joe
wiedziałam ,I knew
brata ,brother
często ,often
powie ,will
dobrym ,good
tyłu ,so many
błąd ,mistake
boję ,afraid
cel ,objective
rany ,wounds
mówiłam ,I said
wasze ,yours
niczym ,like
obiecuję ,I promise
początku ,beginning
historia ,history
chciałeś ,you wanted
uwaga ,attention
gotowa ,ready
zacząć ,start
zatem ,therefore
tony ,tons
istnieje ,exists
jednej ,one
pokazać ,show
nikomu ,nobody
jakim ,which
rodzice ,parents
okay ,okay
szkole ,School
czuje ,I feel
los ,Moose
george ,George
david ,David
obok ,next to
uspokój ,calm
chodźcie ,come
miało ,was supposed to
całkowicie ,completely
stój ,stall
wiadomości ,messages
pomyślałem ,I thought
nogi ,legs
org ,org
ulicy ,street
matki ,mother
fbi ,FBI
jedź ,go
wojny ,war
ciągu ,string
okazji ,occasion
zadzwonię ,I will call
około ,about
ojcze ,father
samym ,alone
uważam ,I think
miłości ,love
mike ,mike
przyszedł ,came
tygodniu ,weekly
prawdziwe ,real
zadzwoń ,call
widać ,can be seen
myśl ,thought
pozwolić ,to let
słyszę ,hear
wracać ,return
dajcie ,give
historii ,story
http ,http
zajmę ,occupied
wieku ,age
jedynie ,only
zamiast ,instead
jakiegoś ,some
umrzeć ,die
wróci ,return
przyjdzie ,will come
łatwo ,easy
siostra ,sister
oraz ,and
prawdziwy ,true
czyż ,do
następny ,next
proste ,simple
rodzinę ,family
